	ordinal	filename	word	IPA	tokenised	qichwa	english	spanish
3876	1867	es_ES.csv	jara	/xaɾa/	['x', 'a', 'ɾ', 'a']	kara	rockrose	jara
3877	1868	es_ES.csv	jaracalla	/xaɾakaʎa/	['x', 'a', 'ɾ', 'a', 'k', 'a', 'ʎ', 'a']	karakalla	jaracalla	jaracalla
3878	1869	es_ES.csv	jaracallas	/xaɾakaʎas/	['x', 'a', 'ɾ', 'a', 'k', 'a', 'ʎ', 'a', 's']	karakallas	jaracallas	jaracallas
3879	1870	es_ES.csv	jaral	/xaɾal/	['x', 'a', 'ɾ', 'a', 'l']	karal	jaral	jaral
3880	1871	es_ES.csv	jarana	/xaɾana/	['x', 'a', 'ɾ', 'a', 'n', 'a']	karana	revelry	jarana
3881	1872	es_ES.csv	jaranas	/xaɾanas/	['x', 'a', 'ɾ', 'a', 'n', 'a', 's']	karanas	revelry	jaranas
3882	1873	es_ES.csv	jaras	/xaɾas/	['x', 'a', 'ɾ', 'a', 's']	karas	jaras	jaras
3883	1874	es_ES.csv	jarica	/xaɾika/	['x', 'a', 'ɾ', 'i', 'k', 'a']	karika	jarica	jarica
3884	1875	es_ES.csv	jarican	/xaɾikan/	['x', 'a', 'ɾ', 'i', 'k', 'a', 'n']	karikan	jaricán	jarican
3885	1876	es_ES.csv	jaricar	/xaɾikaɾ/	['x', 'a', 'ɾ', 'i', 'k', 'a', 'ɾ']	karikar	jaricar	jaricar
3886	1877	es_ES.csv	jaricará	/xaɾikaˈɾa/	['x', 'a', 'ɾ', 'i', 'k', 'a', 'ɾ', 'a']	karikara	jaricara	jaricará
3887	1878	es_ES.csv	jaricara	/xaɾikaɾa/	['x', 'a', 'ɾ', 'i', 'k', 'a', 'ɾ', 'a']	karikara	jaricara	jaricara
3888	1879	es_ES.csv	jaricarán	/xaɾikaˈɾan/	['x', 'a', 'ɾ', 'i', 'k', 'a', 'ɾ', 'a', 'n']	karikaran	jaricaran	jaricarán
3889	1880	es_ES.csv	jaricaran	/xaɾikaɾan/	['x', 'a', 'ɾ', 'i', 'k', 'a', 'ɾ', 'a', 'n']	karikaran	jaricaran	jaricaran
3890	1881	es_ES.csv	jaricarás	/xaɾikaˈɾas/	['x', 'a', 'ɾ', 'i', 'k', 'a', 'ɾ', 'a', 's']	karikaras	jaricaras	jaricarás
3891	1882	es_ES.csv	jaricaras	/xaɾikaɾas/	['x', 'a', 'ɾ', 'i', 'k', 'a', 'ɾ', 'a', 's']	karikaras	jaricaras	jaricaras
3892	1883	es_ES.csv	jaricas	/xaɾikas/	['x', 'a', 'ɾ', 'i', 'k', 'a', 's']	karikas	jaricas	jaricas
3893	1884	es_ES.csv	jasa	/xasa/	['x', 'a', 's', 'a']	kasa	jasa	jasa
3894	1885	es_ES.csv	jasan	/xasan/	['x', 'a', 's', 'a', 'n']	kasan	jasan	jasan
3895	1886	es_ES.csv	jasar	/xasaɾ/	['x', 'a', 's', 'a', 'ɾ']	kasar	jasar	jasar
3896	1887	es_ES.csv	jasará	/xasaˈɾa/	['x', 'a', 's', 'a', 'ɾ', 'a']	kasara	harasara	jasará
3897	1888	es_ES.csv	jasara	/xasaɾa/	['x', 'a', 's', 'a', 'ɾ', 'a']	kasara	jasara	jasara
3898	1889	es_ES.csv	jasarán	/xasaˈɾan/	['x', 'a', 's', 'a', 'ɾ', 'a', 'n']	kasaran	jasaran	jasarán
3899	1890	es_ES.csv	jasaran	/xasaɾan/	['x', 'a', 's', 'a', 'ɾ', 'a', 'n']	kasaran	jasaran	jasaran
3900	1891	es_ES.csv	jasarás	/xasaˈɾas/	['x', 'a', 's', 'a', 'ɾ', 'a', 's']	kasaras	jasaras	jasarás
3901	1892	es_ES.csv	jasaras	/xasaɾas/	['x', 'a', 's', 'a', 'ɾ', 'a', 's']	kasaras	jasaras	jasaras
3902	1893	es_ES.csv	jasas	/xasas/	['x', 'a', 's', 'a', 's']	kasas	jasas	jasas
3903	1894	es_ES.csv	jata	/xata/	['x', 'a', 't', 'a']	kata	haha	jata
3904	1895	es_ES.csv	jatas	/xatas/	['x', 'a', 't', 'a', 's']	katas	jatas	jatas
3905	1896	es_ES.csv	jazarán	/xaθaˈɾan/	['x', 'a', 'θ', 'a', 'ɾ', 'a', 'n']	katharan	jazaran	jazarán
3906	1897	es_ES.csv	jazarina	/xaθaɾina/	['x', 'a', 'θ', 'a', 'ɾ', 'i', 'n', 'a']	katharina	jazarin	jazarina
3907	1898	es_ES.csv	jazarinas	/xaθaɾinas/	['x', 'a', 'θ', 'a', 'ɾ', 'i', 'n', 'a', 's']	katharinas	jazarins	jazarinas
3908	1899	es_ES.csv	ji	/xi/	['x', 'i']	ki	hee	ji
3909	1900	es_ES.csv	jícara	/ˈxikaɾa/	['x', 'i', 'k', 'a', 'ɾ', 'a']	kikara	gourd	jícara
3910	1901	es_ES.csv	jícaras	/ˈxikaɾas/	['x', 'i', 'k', 'a', 'ɾ', 'a', 's']	kikaras	gourds	jícaras
3911	1902	es_ES.csv	jiga	/xiɣa/	['x', 'i', 'ɣ', 'a']	kika	jig	jiga
3912	1903	es_ES.csv	jigas	/xiɣas/	['x', 'i', 'ɣ', 'a', 's']	kikas	jigs	jigas
3913	1904	es_ES.csv	jijallar	/xixaʎaɾ/	['x', 'i', 'x', 'a', 'ʎ', 'a', 'ɾ']	kikallar	jijallar	jijallar
3914	1905	es_ES.csv	jijas	/xixas/	['x', 'i', 'x', 'a', 's']	kikas	hehe	jijas
3915	1906	es_ES.csv	jipijapa	/xipixapa/	['x', 'i', 'p', 'i', 'x', 'a', 'p', 'a']	kipikapa	panama	jipijapa
3916	1907	es_ES.csv	jipijapas	/xipixapas/	['x', 'i', 'p', 'i', 'x', 'a', 'p', 'a', 's']	kipikapas	jipijapas	jipijapas
3917	1908	es_ES.csv	jira	/xiɾa/	['x', 'i', 'ɾ', 'a']	kira	tour	jira
3918	1909	es_ES.csv	jiras	/xiɾas/	['x', 'i', 'ɾ', 'a', 's']	kiras	tours	jiras
3919	1910	es_ES.csv	jirasal	/xiɾasal/	['x', 'i', 'ɾ', 'a', 's', 'a', 'l']	kirasal	jirasal	jirasal
3920	1911	es_ES.csv	jita	/xita/	['x', 'i', 't', 'a']	kita	jita	jita
3921	1912	es_ES.csv	jitan	/xitan/	['x', 'i', 't', 'a', 'n']	kitan	jitan	jitan
3922	1913	es_ES.csv	jitar	/xitaɾ/	['x', 'i', 't', 'a', 'ɾ']	kitar	jitar	jitar
3923	1914	es_ES.csv	jitará	/xitaˈɾa/	['x', 'i', 't', 'a', 'ɾ', 'a']	kitara	jitara	jitará
3924	1915	es_ES.csv	jitara	/xitaɾa/	['x', 'i', 't', 'a', 'ɾ', 'a']	kitara	jitara	jitara
3925	1916	es_ES.csv	jitarán	/xitaˈɾan/	['x', 'i', 't', 'a', 'ɾ', 'a', 'n']	kitaran	jitaran	jitarán
3926	1917	es_ES.csv	jitaran	/xitaɾan/	['x', 'i', 't', 'a', 'ɾ', 'a', 'n']	kitaran	jitaran	jitaran
3927	1918	es_ES.csv	jitarás	/xitaˈɾas/	['x', 'i', 't', 'a', 'ɾ', 'a', 's']	kitaras	jitarás	jitarás
3928	1919	es_ES.csv	jitaras	/xitaɾas/	['x', 'i', 't', 'a', 'ɾ', 'a', 's']	kitaras	jitaras	jitaras
3929	1920	es_ES.csv	jitas	/xitas/	['x', 'i', 't', 'a', 's']	kitas	jitas	jitas
3930	1921	es_ES.csv	jugar	/xuɣaɾ/	['x', 'u', 'ɣ', 'a', 'ɾ']	kukar	play	jugar
3931	1922	es_ES.csv	jugará	/xuɣaˈɾa/	['x', 'u', 'ɣ', 'a', 'ɾ', 'a']	kukara	will play	jugará
3932	1923	es_ES.csv	jugara	/xuɣaɾa/	['x', 'u', 'ɣ', 'a', 'ɾ', 'a']	kukara	will play	jugara
3933	1924	es_ES.csv	jugarán	/xuɣaˈɾan/	['x', 'u', 'ɣ', 'a', 'ɾ', 'a', 'n']	kukaran	they will play	jugarán
3934	1925	es_ES.csv	jugaran	/xuɣaɾan/	['x', 'u', 'ɣ', 'a', 'ɾ', 'a', 'n']	kukaran	they will play	jugaran
3935	1926	es_ES.csv	jugarás	/xuɣaˈɾas/	['x', 'u', 'ɣ', 'a', 'ɾ', 'a', 's']	kukaras	you will play	jugarás
3936	1927	es_ES.csv	jugaras	/xuɣaɾas/	['x', 'u', 'ɣ', 'a', 'ɾ', 'a', 's']	kukaras	you will play	jugaras
3937	1928	es_ES.csv	juma	/xuma/	['x', 'u', 'm', 'a']	kuma	juma	juma
3938	1929	es_ES.csv	jumas	/xumas/	['x', 'u', 'm', 'a', 's']	kumas	jumas	jumas
3939	1930	es_ES.csv	juñir	/xuɲiɾ/	['x', 'u', 'ɲ', 'i', 'ɾ']	kuñir	juñir	juñir
3940	1931	es_ES.csv	jura	/xuɾa/	['x', 'u', 'ɾ', 'a']	kura	swears	jura
3941	1932	es_ES.csv	juran	/xuɾan/	['x', 'u', 'ɾ', 'a', 'n']	kuran	they swear	juran
3942	1933	es_ES.csv	jurar	/xuɾaɾ/	['x', 'u', 'ɾ', 'a', 'ɾ']	kurar	swear	jurar
3943	1934	es_ES.csv	jurará	/xuɾaˈɾa/	['x', 'u', 'ɾ', 'a', 'ɾ', 'a']	kurara	will swear	jurará
3944	1935	es_ES.csv	jurara	/xuɾaɾa/	['x', 'u', 'ɾ', 'a', 'ɾ', 'a']	kurara	swear	jurara
3945	1936	es_ES.csv	jurarán	/xuɾaˈɾan/	['x', 'u', 'ɾ', 'a', 'ɾ', 'a', 'n']	kuraran	they will swear	jurarán
3946	1937	es_ES.csv	juraran	/xuɾaɾan/	['x', 'u', 'ɾ', 'a', 'ɾ', 'a', 'n']	kuraran	they will swear	juraran
3947	1938	es_ES.csv	jurarás	/xuɾaˈɾas/	['x', 'u', 'ɾ', 'a', 'ɾ', 'a', 's']	kuraras	you will swear	jurarás
3948	1939	es_ES.csv	juraras	/xuɾaɾas/	['x', 'u', 'ɾ', 'a', 'ɾ', 'a', 's']	kuraras	you will swear	juraras
3949	1940	es_ES.csv	juras	/xuɾas/	['x', 'u', 'ɾ', 'a', 's']	kuras	you swear	juras
3950	1941	es_ES.csv	jurásica	/xuˈɾasika/	['x', 'u', 'ɾ', 'a', 's', 'i', 'k', 'a']	kurasika	jurassic	jurásica
3951	1942	es_ES.csv	jurásicas	/xuˈɾasikas/	['x', 'u', 'ɾ', 'a', 's', 'i', 'k', 'a', 's']	kurasikas	jurassic	jurásicas
3952	1943	es_ES.csv	jusi	/xusi/	['x', 'u', 's', 'i']	kusi	justi	jusi
3953	1944	es_ES.csv	juta	/xuta/	['x', 'u', 't', 'a']	kuta	juta	juta
3954	1945	es_ES.csv	jutas	/xutas/	['x', 'u', 't', 'a', 's']	kutas	jutas	jutas
3955	1946	es_ES.csv	ka	/ka/	['k', 'a']	ka	ka	ka
3956	1947	es_ES.csv	kan	/kan/	['k', 'a', 'n']	kan	khan	kan
3957	1948	es_ES.csv	kas	/kas/	['k', 'a', 's']	kas	kas	kas
3958	1949	es_ES.csv	kili	/kili/	['k', 'i', 'l', 'i']	kili	kili	kili
3959	1950	es_ES.csv	la	/la/	['l', 'a']	la	the	la
3960	1951	es_ES.csv	laca	/laka/	['l', 'a', 'k', 'a']	laka	lacquer	laca
3961	1952	es_ES.csv	lacas	/lakas/	['l', 'a', 'k', 'a', 's']	lakas	lacquers	lacas
3962	1953	es_ES.csv	lagaña	/laɣaɲa/	['l', 'a', 'ɣ', 'a', 'ɲ', 'a']	lakaña	lagana	lagaña
3963	1954	es_ES.csv	lagañas	/laɣaɲas/	['l', 'a', 'ɣ', 'a', 'ɲ', 'a', 's']	lakañas	laganas	lagañas
3964	1955	es_ES.csv	lagar	/laɣaɾ/	['l', 'a', 'ɣ', 'a', 'ɾ']	lakar	winery	lagar
3965	1956	es_ES.csv	laguna	/laɣuna/	['l', 'a', 'ɣ', 'u', 'n', 'a']	lakuna	lagoon	laguna
3966	1957	es_ES.csv	lagunar	/laɣunaɾ/	['l', 'a', 'ɣ', 'u', 'n', 'a', 'ɾ']	lakunar	lagoon	lagunar
3967	1958	es_ES.csv	lagunas	/laɣunas/	['l', 'a', 'ɣ', 'u', 'n', 'a', 's']	lakunas	gaps	lagunas
3968	1959	es_ES.csv	laja	/laxa/	['l', 'a', 'x', 'a']	laka	flagstone	laja
3969	1960	es_ES.csv	lajas	/laxas/	['l', 'a', 'x', 'a', 's']	lakas	slabs	lajas
3970	1961	es_ES.csv	lama	/lama/	['l', 'a', 'm', 'a']	lama	the MA	lama
3971	1962	es_ES.csv	laman	/laman/	['l', 'a', 'm', 'a', 'n']	laman	call	laman
3972	1963	es_ES.csv	lamas	/lamas/	['l', 'a', 'm', 'a', 's']	lamas	the most	lamas
3973	1964	es_ES.csv	lamí	/laˈmi/	['l', 'a', 'm', 'i']	lami	mine	lamí
3974	1965	es_ES.csv	lamín	/laˈmin/	['l', 'a', 'm', 'i', 'n']	lamin	laminate	lamín
3975	1966	es_ES.csv	lámina	/ˈlamina/	['l', 'a', 'm', 'i', 'n', 'a']	lamina	leaf	lámina
3976	1967	es_ES.csv	lamina	/lamina/	['l', 'a', 'm', 'i', 'n', 'a']	lamina	leaf	lamina
3977	1968	es_ES.csv	laminan	/laminan/	['l', 'a', 'm', 'i', 'n', 'a', 'n']	laminan	laminate	laminan
3978	1969	es_ES.csv	laminar	/laminaɾ/	['l', 'a', 'm', 'i', 'n', 'a', 'ɾ']	laminar	laminate	laminar
3979	1970	es_ES.csv	laminará	/laminaˈɾa/	['l', 'a', 'm', 'i', 'n', 'a', 'ɾ', 'a']	laminara	will laminate	laminará
3980	1971	es_ES.csv	laminara	/laminaɾa/	['l', 'a', 'm', 'i', 'n', 'a', 'ɾ', 'a']	laminara	laminate	laminara
3981	1972	es_ES.csv	laminarán	/laminaˈɾan/	['l', 'a', 'm', 'i', 'n', 'a', 'ɾ', 'a', 'n']	laminaran	will laminate	laminarán
3982	1973	es_ES.csv	laminaran	/laminaɾan/	['l', 'a', 'm', 'i', 'n', 'a', 'ɾ', 'a', 'n']	laminaran	will laminate	laminaran
3983	1974	es_ES.csv	laminarás	/laminaˈɾas/	['l', 'a', 'm', 'i', 'n', 'a', 'ɾ', 'a', 's']	laminaras	you will laminate	laminarás
3984	1975	es_ES.csv	laminaras	/laminaɾas/	['l', 'a', 'm', 'i', 'n', 'a', 'ɾ', 'a', 's']	laminaras	you will laminate	laminaras
3985	1976	es_ES.csv	láminas	/ˈlaminas/	['l', 'a', 'm', 'i', 'n', 'a', 's']	laminas	sheets	láminas
3986	1977	es_ES.csv	laminas	/laminas/	['l', 'a', 'm', 'i', 'n', 'a', 's']	laminas	sheets	laminas
3987	1978	es_ES.csv	laminilla	/laminiʎa/	['l', 'a', 'm', 'i', 'n', 'i', 'ʎ', 'a']	laminilla	lamella	laminilla
3988	1979	es_ES.csv	laminillas	/laminiʎas/	['l', 'a', 'm', 'i', 'n', 'i', 'ʎ', 'a', 's']	laminillas	lamellae	laminillas
3989	1980	es_ES.csv	lana	/lana/	['l', 'a', 'n', 'a']	lana	wool	lana
3990	1981	es_ES.csv	lanar	/lanaɾ/	['l', 'a', 'n', 'a', 'ɾ']	lanar	wool	lanar
3991	1982	es_ES.csv	lanas	/lanas/	['l', 'a', 'n', 'a', 's']	lanas	wool	lanas
3992	1983	es_ES.csv	lanilla	/laniʎa/	['l', 'a', 'n', 'i', 'ʎ', 'a']	lanilla	fluff	lanilla
3993	1984	es_ES.csv	lanillas	/laniʎas/	['l', 'a', 'n', 'i', 'ʎ', 'a', 's']	lanillas	naps	lanillas
3994	1985	es_ES.csv	laña	/laɲa/	['l', 'a', 'ɲ', 'a']	laña	wool	laña
3995	1986	es_ES.csv	lañan	/laɲan/	['l', 'a', 'ɲ', 'a', 'n']	lañan	lañan	lañan
3996	1987	es_ES.csv	lañar	/laɲaɾ/	['l', 'a', 'ɲ', 'a', 'ɾ']	lañar	lañar	lañar
3997	1988	es_ES.csv	lañará	/laɲaˈɾa/	['l', 'a', 'ɲ', 'a', 'ɾ', 'a']	lañara	lañará	lañará
3998	1989	es_ES.csv	lañara	/laɲaɾa/	['l', 'a', 'ɲ', 'a', 'ɾ', 'a']	lañara	lañara	lañara
3999	1990	es_ES.csv	lañarán	/laɲaˈɾan/	['l', 'a', 'ɲ', 'a', 'ɾ', 'a', 'n']	lañaran	they will lañarán	lañarán
4000	1991	es_ES.csv	lañaran	/laɲaɾan/	['l', 'a', 'ɲ', 'a', 'ɾ', 'a', 'n']	lañaran	lañaran	lañaran
4001	1992	es_ES.csv	lañarás	/laɲaˈɾas/	['l', 'a', 'ɲ', 'a', 'ɾ', 'a', 's']	lañaras	you will lañarás	lañarás
4002	1993	es_ES.csv	lañaras	/laɲaɾas/	['l', 'a', 'ɲ', 'a', 'ɾ', 'a', 's']	lañaras	lañaras	lañaras
4003	1994	es_ES.csv	lañas	/laɲas/	['l', 'a', 'ɲ', 'a', 's']	lañas	lañas	lañas
4004	1995	es_ES.csv	lapa	/lapa/	['l', 'a', 'p', 'a']	lapa	limpet	lapa
4005	1996	es_ES.csv	lapas	/lapas/	['l', 'a', 'p', 'a', 's']	lapas	limpets	lapas
4006	1997	es_ES.csv	lapilla	/lapiʎa/	['l', 'a', 'p', 'i', 'ʎ', 'a']	lapilla	lapilla	lapilla
4007	1998	es_ES.csv	lapillas	/lapiʎas/	['l', 'a', 'p', 'i', 'ʎ', 'a', 's']	lapillas	lapillas	lapillas
4008	1999	es_ES.csv	lapisázuli	/lapiˈsaθuli/	['l', 'a', 'p', 'i', 's', 'a', 'θ', 'u', 'l', 'i']	lapisathuli	lapisazuli	lapisázuli
4009	2000	es_ES.csv	lapita	/lapita/	['l', 'a', 'p', 'i', 't', 'a']	lapita	The pita	lapita
4010	2001	es_ES.csv	lapitas	/lapitas/	['l', 'a', 'p', 'i', 't', 'a', 's']	lapitas	lapitas	lapitas
4011	2002	es_ES.csv	lápiz	/ˈlapiθ/	['l', 'a', 'p', 'i', 'θ']	lapith	pencil	lápiz
4012	2003	es_ES.csv	lapiza	/lapiθa/	['l', 'a', 'p', 'i', 'θ', 'a']	lapitha	pencil	lapiza
4013	2004	es_ES.csv	lapizan	/lapiθan/	['l', 'a', 'p', 'i', 'θ', 'a', 'n']	lapithan	pencil	lapizan
4014	2005	es_ES.csv	lapizar	/lapiθaɾ/	['l', 'a', 'p', 'i', 'θ', 'a', 'ɾ']	lapithar	pencil	lapizar
4015	2006	es_ES.csv	lapizará	/lapiθaˈɾa/	['l', 'a', 'p', 'i', 'θ', 'a', 'ɾ', 'a']	lapithara	will pencil	lapizará
4016	2007	es_ES.csv	lapizara	/lapiθaɾa/	['l', 'a', 'p', 'i', 'θ', 'a', 'ɾ', 'a']	lapithara	will pencil	lapizara
4017	2008	es_ES.csv	lapizarán	/lapiθaˈɾan/	['l', 'a', 'p', 'i', 'θ', 'a', 'ɾ', 'a', 'n']	lapitharan	they will pencil	lapizarán
4018	2009	es_ES.csv	lapizaran	/lapiθaɾan/	['l', 'a', 'p', 'i', 'θ', 'a', 'ɾ', 'a', 'n']	lapitharan	will pencil	lapizaran
4019	2010	es_ES.csv	lapizarás	/lapiθaˈɾas/	['l', 'a', 'p', 'i', 'θ', 'a', 'ɾ', 'a', 's']	lapitharas	you will pencil	lapizarás
4020	2011	es_ES.csv	lapizaras	/lapiθaɾas/	['l', 'a', 'p', 'i', 'θ', 'a', 'ɾ', 'a', 's']	lapitharas	you will pencil	lapizaras
4021	2012	es_ES.csv	lapizas	/lapiθas/	['l', 'a', 'p', 'i', 'θ', 'a', 's']	lapithas	pencils	lapizas
4022	2013	es_ES.csv	lar	/laɾ/	['l', 'a', 'ɾ']	lar	lar	lar
4023	2014	es_ES.csv	laricina	/laɾiθina/	['l', 'a', 'ɾ', 'i', 'θ', 'i', 'n', 'a']	larithina	laricin	laricina
4024	2015	es_ES.csv	laricinas	/laɾiθinas/	['l', 'a', 'ɾ', 'i', 'θ', 'i', 'n', 'a', 's']	larithinas	laricins	laricinas
4025	2016	es_ES.csv	las	/las/	['l', 'a', 's']	las	the	las
4026	2017	es_ES.csv	lasa	/lasa/	['l', 'a', 's', 'a']	lasa	lasa	lasa
4027	2018	es_ES.csv	lasaña	/lasaɲa/	['l', 'a', 's', 'a', 'ɲ', 'a']	lasaña	lasagna	lasaña
4028	2019	es_ES.csv	lasañas	/lasaɲas/	['l', 'a', 's', 'a', 'ɲ', 'a', 's']	lasañas	lasagna	lasañas
4029	2020	es_ES.csv	lasas	/lasas/	['l', 'a', 's', 'a', 's']	lasas	lasas	lasas
4030	2021	es_ES.csv	lasún	/laˈsun/	['l', 'a', 's', 'u', 'n']	lasun	lasún	lasún
4031	2022	es_ES.csv	lata	/lata/	['l', 'a', 't', 'a']	lata	can	lata
4032	2023	es_ES.csv	latan	/latan/	['l', 'a', 't', 'a', 'n']	latan	beat	latan
4033	2024	es_ES.csv	latas	/latas/	['l', 'a', 't', 'a', 's']	latas	cans	latas
4034	2025	es_ES.csv	lataz	/lataθ/	['l', 'a', 't', 'a', 'θ']	latath	can	lataz
4035	2026	es_ES.csv	latí	/laˈti/	['l', 'a', 't', 'i']	lati	beat	latí
4036	2027	es_ES.csv	latín	/laˈtin/	['l', 'a', 't', 'i', 'n']	latin	Latin	latín
4037	2028	es_ES.csv	latina	/latina/	['l', 'a', 't', 'i', 'n', 'a']	latina	latin	latina
4038	2029	es_ES.csv	latinan	/latinan/	['l', 'a', 't', 'i', 'n', 'a', 'n']	latinan	latinan	latinan
4039	2030	es_ES.csv	latinar	/latinaɾ/	['l', 'a', 't', 'i', 'n', 'a', 'ɾ']	latinar	latino	latinar
4040	2031	es_ES.csv	latinará	/latinaˈɾa/	['l', 'a', 't', 'i', 'n', 'a', 'ɾ', 'a']	latinara	will latin	latinará
4041	2032	es_ES.csv	latinara	/latinaɾa/	['l', 'a', 't', 'i', 'n', 'a', 'ɾ', 'a']	latinara	latinara	latinara
4042	2033	es_ES.csv	latinarán	/latinaˈɾan/	['l', 'a', 't', 'i', 'n', 'a', 'ɾ', 'a', 'n']	latinaran	latinarán	latinarán
4043	2034	es_ES.csv	latinaran	/latinaɾan/	['l', 'a', 't', 'i', 'n', 'a', 'ɾ', 'a', 'n']	latinaran	latinarán	latinaran
4044	2035	es_ES.csv	latinarás	/latinaˈɾas/	['l', 'a', 't', 'i', 'n', 'a', 'ɾ', 'a', 's']	latinaras	you will latin	latinarás
4045	2036	es_ES.csv	latinaras	/latinaɾas/	['l', 'a', 't', 'i', 'n', 'a', 'ɾ', 'a', 's']	latinaras	latinas	latinaras
4046	2037	es_ES.csv	latinas	/latinas/	['l', 'a', 't', 'i', 'n', 'a', 's']	latinas	latinas	latinas
4047	2038	es_ES.csv	latiniza	/latiniθa/	['l', 'a', 't', 'i', 'n', 'i', 'θ', 'a']	latinitha	latinizes	latiniza
4048	2039	es_ES.csv	latinizan	/latiniθan/	['l', 'a', 't', 'i', 'n', 'i', 'θ', 'a', 'n']	latinithan	Latinize	latinizan
4049	2040	es_ES.csv	latinizar	/latiniθaɾ/	['l', 'a', 't', 'i', 'n', 'i', 'θ', 'a', 'ɾ']	latinithar	Latinize	latinizar
4050	2041	es_ES.csv	latinizará	/latiniθaˈɾa/	['l', 'a', 't', 'i', 'n', 'i', 'θ', 'a', 'ɾ', 'a']	latinithara	will latinize	latinizará
4051	2042	es_ES.csv	latinizara	/latiniθaɾa/	['l', 'a', 't', 'i', 'n', 'i', 'θ', 'a', 'ɾ', 'a']	latinithara	would latinize	latinizara
4052	2043	es_ES.csv	latinizarán	/latiniθaˈɾan/	['l', 'a', 't', 'i', 'n', 'i', 'θ', 'a', 'ɾ', 'a', 'n']	latinitharan	they will latinize	latinizarán
4053	2044	es_ES.csv	latinizaran	/latiniθaɾan/	['l', 'a', 't', 'i', 'n', 'i', 'θ', 'a', 'ɾ', 'a', 'n']	latinitharan	Latinized	latinizaran
4054	2045	es_ES.csv	latinizarás	/latiniθaˈɾas/	['l', 'a', 't', 'i', 'n', 'i', 'θ', 'a', 'ɾ', 'a', 's']	latinitharas	you will latinize	latinizarás
4055	2046	es_ES.csv	latinizaras	/latiniθaɾas/	['l', 'a', 't', 'i', 'n', 'i', 'θ', 'a', 'ɾ', 'a', 's']	latinitharas	you will latinize	latinizaras
4056	2047	es_ES.csv	latinizas	/latiniθas/	['l', 'a', 't', 'i', 'n', 'i', 'θ', 'a', 's']	latinithas	latinizas	latinizas
4057	2048	es_ES.csv	latir	/latiɾ/	['l', 'a', 't', 'i', 'ɾ']	latir	beat	latir
4058	2049	es_ES.csv	latirá	/latiˈɾa/	['l', 'a', 't', 'i', 'ɾ', 'a']	latira	strip	latirá
4059	2050	es_ES.csv	latirán	/latiˈɾan/	['l', 'a', 't', 'i', 'ɾ', 'a', 'n']	latiran	they will beat	latirán
4060	2051	es_ES.csv	latirás	/latiˈɾas/	['l', 'a', 't', 'i', 'ɾ', 'a', 's']	latiras	you will beat	latirás
4061	2052	es_ES.csv	latís	/laˈtis/	['l', 'a', 't', 'i', 's']	latis	latis	latís
4062	2053	es_ES.csv	laza	/laθa/	['l', 'a', 'θ', 'a']	latha	laza	laza
4063	2054	es_ES.csv	lazan	/laθan/	['l', 'a', 'θ', 'a', 'n']	lathan	they laze	lazan
4064	2055	es_ES.csv	lazar	/laθaɾ/	['l', 'a', 'θ', 'a', 'ɾ']	lathar	lasso	lazar
4065	2056	es_ES.csv	lazará	/laθaˈɾa/	['l', 'a', 'θ', 'a', 'ɾ', 'a']	lathara	will lasso	lazará
4066	2057	es_ES.csv	lazara	/laθaɾa/	['l', 'a', 'θ', 'a', 'ɾ', 'a']	lathara	lazara	lazara
4067	2058	es_ES.csv	lazarán	/laθaˈɾan/	['l', 'a', 'θ', 'a', 'ɾ', 'a', 'n']	latharan	they will launch	lazarán
4068	2059	es_ES.csv	lazaran	/laθaɾan/	['l', 'a', 'θ', 'a', 'ɾ', 'a', 'n']	latharan	they will laze	lazaran
4069	2060	es_ES.csv	lazarás	/laθaˈɾas/	['l', 'a', 'θ', 'a', 'ɾ', 'a', 's']	latharas	you will lasso	lazarás
4070	2061	es_ES.csv	lazaras	/laθaɾas/	['l', 'a', 'θ', 'a', 'ɾ', 'a', 's']	latharas	lazaras	lazaras
4071	2062	es_ES.csv	lazarina	/laθaɾina/	['l', 'a', 'θ', 'a', 'ɾ', 'i', 'n', 'a']	latharina	lazarina	lazarina
4072	2063	es_ES.csv	lazarinas	/laθaɾinas/	['l', 'a', 'θ', 'a', 'ɾ', 'i', 'n', 'a', 's']	latharinas	lazarinas	lazarinas
4073	2064	es_ES.csv	lazas	/laθas/	['l', 'a', 'θ', 'a', 's']	lathas	loops	lazas
4074	2065	es_ES.csv	lazulita	/laθulita/	['l', 'a', 'θ', 'u', 'l', 'i', 't', 'a']	lathulita	lazulite	lazulita
4075	2066	es_ES.csv	lazulitas	/laθulitas/	['l', 'a', 'θ', 'u', 'l', 'i', 't', 'a', 's']	lathulitas	lazulitas	lazulitas
4076	2067	es_ES.csv	lícita	/ˈliθita/	['l', 'i', 'θ', 'i', 't', 'a']	lithita	lawful	lícita
4077	2068	es_ES.csv	licita	/liθita/	['l', 'i', 'θ', 'i', 't', 'a']	lithita	tender	licita
4078	2069	es_ES.csv	licitan	/liθitan/	['l', 'i', 'θ', 'i', 't', 'a', 'n']	lithitan	tender	licitan
4079	2070	es_ES.csv	licitar	/liθitaɾ/	['l', 'i', 'θ', 'i', 't', 'a', 'ɾ']	lithitar	bid	licitar
4080	2071	es_ES.csv	licitará	/liθitaˈɾa/	['l', 'i', 'θ', 'i', 't', 'a', 'ɾ', 'a']	lithitara	will tender	licitará
