ordinal	fil	filename	word	tokenised	qichwa	english	spanish
586	cat	cat_latn_broad.tsv	purí	['p', 'u', 'ɾ', 'i']	puri	slurry	purín
587	cat	cat_latn_broad.tsv	puríssim	['p', 'u', 'ɾ', 'i', 's', 'i', 'm']	purisim	very pure	purísimo
588	cat	cat_latn_broad.tsv	puríssima	['p', 'u', 'ɾ', 'i', 's', 'i', 'm', 'a']	purisima	very pure	purísima
589	cat	cat_latn_broad.tsv	pus	['p', 'u', 's']	pus	pus	pus
590	cat	cat_latn_broad.tsv	puta	['p', 'u', 't', 'a']	puta	whore	puta
591	cat	cat_latn_broad.tsv	putana	['p', 'u', 't', 'a', 'n', 'a']	putana	whore	putana
592	cat	cat_latn_broad.tsv	putatiu	['p', 'u', 't', 'a', 't', 'i', 'w']	putatiw	putative	putativo
593	cat	cat_latn_broad.tsv	puça	['p', 'u', 's', 'a']	pusa	flea	pulga
594	cat	cat_latn_broad.tsv	pànic	['p', 'a', 'n', 'i', 'k']	panik	panic	pánico
595	cat	cat_latn_broad.tsv	quemaco	['k', 'a', 'm', 'a', 'k', 'u']	kamaku	I burn	crema
596	cat	cat_latn_broad.tsv	qui	['k', 'i']	ki	who	quien
597	cat	cat_latn_broad.tsv	quil	['k', 'i', 'l']	kil	kilo	quil
598	cat	cat_latn_broad.tsv	quilla	['k', 'i', 'ʎ', 'a']	killa	keel	quilla
599	cat	cat_latn_broad.tsv	quilo	['k', 'i', 'l', 'u']	kilu	kilo	kilo
600	cat	cat_latn_broad.tsv	quim	['k', 'i', 'm']	kim	who	quim
601	cat	cat_latn_broad.tsv	quin	['k', 'i', 'n']	kin	Which one	cuál
602	cat	cat_latn_broad.tsv	quina	['k', 'i', 'n', 'a']	kina	which one	cuál
603	cat	cat_latn_broad.tsv	quint	['k', 'i', 'n']	kin	fifth	quinto
604	cat	cat_latn_broad.tsv	quiquiriquic	['k', 'i', 'k', 'i', 'ɾ', 'i', 'k', 'i', 'k']	kikirikik	whimsical	quiquiriquico
605	cat	cat_latn_broad.tsv	quissà	['k', 'i', 's', 'a']	kisa	who knew	quisó
606	cat	cat_latn_broad.tsv	quita	['k', 'i', 't', 'a']	kita	remove	quita
607	cat	cat_latn_broad.tsv	quitar	['k', 'i', 't', 'a']	kita	remove	quitar
608	cat	cat_latn_broad.tsv	quitar	['k', 'i', 't', 'a', 'ɾ']	kitar	remove	quitar
609	cat	cat_latn_broad.tsv	quitina	['k', 'i', 't', 'i', 'n', 'a']	kitina	chitin	quitina
610	cat	cat_latn_broad.tsv	quito	['k', 'i', 't', 'u']	kitu	Quito	quito
611	cat	cat_latn_broad.tsv	químic	['k', 'i', 'm', 'i', 'k']	kimik	chemical	químico
612	cat	cat_latn_broad.tsv	química	['k', 'i', 'm', 'i', 'k', 'a']	kimika	chemistry	química
613	cat	cat_latn_broad.tsv	sa	['s', 'a']	sa	healthy	sano
614	cat	cat_latn_broad.tsv	sac	['s', 'a', 'k']	sak	sack	saco
615	cat	cat_latn_broad.tsv	sacarina	['s', 'a', 'k', 'a', 'ɾ', 'i', 'n', 'a']	sakarina	saccharine	sacarina
616	cat	cat_latn_broad.tsv	sacarí	['s', 'a', 'k', 'a', 'ɾ', 'i']	sakari	saccharine	sacarí
617	cat	cat_latn_broad.tsv	sakhà	['s', 'a', 'k', 'a']	saka	sakha	saja
618	cat	cat_latn_broad.tsv	sal	['s', 'a', 'l']	sal	salt	sal
619	cat	cat_latn_broad.tsv	sala	['s', 'a', 'l', 'a']	sala	room	sala
620	cat	cat_latn_broad.tsv	salami	['s', 'a', 'l', 'a', 'm', 'i']	salami	salami	salami
621	cat	cat_latn_broad.tsv	salar	['s', 'a', 'l', 'a', 'ɾ']	salar	to salt	salar
622	cat	cat_latn_broad.tsv	salari	['s', 'a', 'l', 'a', 'ɾ', 'i']	salari	salary	salario
623	cat	cat_latn_broad.tsv	salina	['s', 'a', 'l', 'i', 'n', 'a']	salina	saline	salina
624	cat	cat_latn_broad.tsv	salo	['s', 'a', 'l', 'u']	salu	hall	salón
625	cat	cat_latn_broad.tsv	salt	['s', 'a', 'l']	sal	jump	salto
626	cat	cat_latn_broad.tsv	samari	['s', 'a', 'm', 'a', 'ɾ', 'i']	samari	samaritan	samario
627	cat	cat_latn_broad.tsv	san	['s', 'a', 'n']	san	healthy	san
628	cat	cat_latn_broad.tsv	sana	['s', 'a', 'n', 'a']	sana	healthy	sana
629	cat	cat_latn_broad.tsv	sanitari	['s', 'a', 'n', 'i', 't', 'a', 'ɾ', 'i']	sanitari	sanitary	sanitario
630	cat	cat_latn_broad.tsv	sanícula	['s', 'a', 'n', 'i', 'k', 'u', 'l', 'a']	sanikula	sanitarium	sanícula
631	cat	cat_latn_broad.tsv	sap	['s', 'a', 'p']	sap	knows	sabe
632	cat	cat_latn_broad.tsv	saqui	['s', 'a', 'k', 'i']	saki	take out	saque
633	cat	cat_latn_broad.tsv	sarau	['s', 'a', 'ɾ', 'a', 'w']	saraw	will heal	sarao
634	cat	cat_latn_broad.tsv	satura	['s', 'a', 't', 'u', 'ɾ', 'a']	satura	saturates	satura
635	cat	cat_latn_broad.tsv	saturar	['s', 'a', 't', 'u', 'ɾ', 'a', 'ɾ']	saturar	to saturate	saturar
636	cat	cat_latn_broad.tsv	saturi	['s', 'a', 't', 'u', 'ɾ', 'i']	saturi	saturate	sature
637	cat	cat_latn_broad.tsv	saturis	['s', 'a', 't', 'u', 'ɾ', 'i', 's']	saturis	saturated	saturis
638	cat	cat_latn_broad.tsv	satànic	['s', 'a', 't', 'a', 'n', 'i', 'k']	satanik	satanic	satánico
639	cat	cat_latn_broad.tsv	satíric	['s', 'a', 't', 'i', 'ɾ', 'i', 'k']	satirik	satirical	satírico
640	cat	cat_latn_broad.tsv	si	['s', 'i']	si	Yes	si
641	cat	cat_latn_broad.tsv	silici	['s', 'i', 'l', 'i', 's', 'i']	silisi	silicon	silicio
642	cat	cat_latn_broad.tsv	simi	['s', 'i', 'm', 'i']	simi	monkey	simi
643	cat	cat_latn_broad.tsv	similar	['s', 'i', 'm', 'i', 'l', 'a']	simila	similar	similar
644	cat	cat_latn_broad.tsv	similar	['s', 'i', 'm', 'i', 'l', 'a', 'ɾ']	similar	similar	similar
645	cat	cat_latn_broad.tsv	simular	['s', 'i', 'm', 'u', 'l', 'a']	simula	simulate	simular
646	cat	cat_latn_broad.tsv	simular	['s', 'i', 'm', 'u', 'l', 'a', 'ɾ']	simular	simulate	simular
647	cat	cat_latn_broad.tsv	sinus	['s', 'i', 'n', 'u', 's']	sinus	sinus	seno
648	cat	cat_latn_broad.tsv	sis	['s', 'i', 's']	sis	six	seis
649	cat	cat_latn_broad.tsv	siti	['s', 'i', 't', 'i']	siti	site	sito
650	cat	cat_latn_broad.tsv	solar	['s', 'u', 'l', 'a']	sula	solar	solar
651	cat	cat_latn_broad.tsv	solitari	['s', 'u', 'l', 'i', 't', 'a', 'ɾ', 'i']	sulitari	lonely	solitario
652	cat	cat_latn_broad.tsv	sollar	['s', 'u', 'ʎ', 'a']	sulla	soar	sollar
653	cat	cat_latn_broad.tsv	solà	['s', 'u', 'l', 'a']	sula	alone	solano
654	cat	cat_latn_broad.tsv	somic	['s', 'u', 'm', 'i', 'k']	sumik	sleepy	soy
655	cat	cat_latn_broad.tsv	somicar	['s', 'u', 'm', 'i', 'k', 'a']	sumika	to dream	soñar
656	cat	cat_latn_broad.tsv	somàtic	['s', 'u', 'm', 'a', 't', 'i', 'k']	sumatik	somatic	somático
657	cat	cat_latn_broad.tsv	sonall	['s', 'u', 'n', 'a', 'ʎ']	sunall	rattle	sonajero
658	cat	cat_latn_broad.tsv	sonar	['s', 'u', 'n', 'a']	suna	sound	sonar
659	cat	cat_latn_broad.tsv	sopar	['s', 'u', 'p', 'a']	supa	dinner	cena
660	cat	cat_latn_broad.tsv	sopà	['s', 'u', 'p', 'a']	supa	soup	cena
661	cat	cat_latn_broad.tsv	sotal	['s', 'u', 't', 'a', 'l']	sutal	underneath	bajol
662	cat	cat_latn_broad.tsv	suc	['s', 'u', 'k']	suk	juice	jugo
663	cat	cat_latn_broad.tsv	sucar	['s', 'u', 'k', 'a']	suka	to soak	mojar
664	cat	cat_latn_broad.tsv	sucar	['s', 'u', 'k', 'a', 'ɾ']	sukar	to soak	mojar
665	cat	cat_latn_broad.tsv	suma	['s', 'u', 'm', 'a']	suma	sum	suma
666	cat	cat_latn_broad.tsv	sumac	['s', 'u', 'm', 'a', 'k']	sumak	sumac	sumac
667	cat	cat_latn_broad.tsv	sumar	['s', 'u', 'm', 'a']	suma	add	sumar
668	cat	cat_latn_broad.tsv	sumar	['s', 'u', 'm', 'a', 'ɾ']	sumar	add	sumar
669	cat	cat_latn_broad.tsv	sumari	['s', 'u', 'm', 'a', 'ɾ', 'i']	sumari	summary	sumario
670	cat	cat_latn_broad.tsv	supina	['s', 'u', 'p', 'i', 'n', 'a']	supina	supine	supina
671	cat	cat_latn_broad.tsv	supí	['s', 'u', 'p', 'i']	supi	supine	supino
672	cat	cat_latn_broad.tsv	sura	['s', 'u', 'ɾ', 'a']	sura	swim	flota
673	cat	cat_latn_broad.tsv	surar	['s', 'u', 'ɾ', 'a']	sura	to float	flotar
674	cat	cat_latn_broad.tsv	surar	['s', 'u', 'ɾ', 'a', 'ɾ']	surar	to float	flotar
675	cat	cat_latn_broad.tsv	surinam	['s', 'u', 'ɾ', 'i', 'n', 'a', 'm']	surinam	suriname	flotamos
676	cat	cat_latn_broad.tsv	suro	['s', 'u', 'ɾ', 'u']	suru	Cork	corcho
677	cat	cat_latn_broad.tsv	surolí	['s', 'u', 'ɾ', 'u', 'l', 'i']	suruli	surolí	corcho
678	cat	cat_latn_broad.tsv	suscitar	['s', 'u', 's', 'i', 't', 'a']	susita	to raise	suscitar
679	cat	cat_latn_broad.tsv	suscitar	['s', 'u', 's', 'i', 't', 'a', 'ɾ']	susitar	to raise	suscitar
680	cat	cat_latn_broad.tsv	sutura	['s', 'u', 't', 'u', 'ɾ', 'a']	sutura	suture	sutura
681	cat	cat_latn_broad.tsv	suturar	['s', 'u', 't', 'u', 'ɾ', 'a']	sutura	to suture	suturar
682	cat	cat_latn_broad.tsv	suturar	['s', 'u', 't', 'u', 'ɾ', 'a', 'ɾ']	suturar	to suture	suturar
683	cat	cat_latn_broad.tsv	sàlic	['s', 'a', 'l', 'i', 'k']	salik	salic	sálico
684	cat	cat_latn_broad.tsv	sàtir	['s', 'a', 't', 'i']	sati	satire	sátiro
685	cat	cat_latn_broad.tsv	sàtir	['s', 'a', 't', 'i', 'ɾ']	satir	satire	sátiro
686	cat	cat_latn_broad.tsv	sàtira	['s', 'a', 't', 'i', 'ɾ', 'a']	satira	satire	sátira
687	cat	cat_latn_broad.tsv	sí	['s', 'i']	si	Yes	sí
688	cat	cat_latn_broad.tsv	símil	['s', 'i', 'm', 'i', 'l']	simil	similar	símil
689	cat	cat_latn_broad.tsv	símila	['s', 'i', 'm', 'i', 'l', 'a']	simila	simile	símila
690	cat	cat_latn_broad.tsv	súcub	['s', 'u', 'k', 'u', 'p']	sukup	succubus	súcubo
691	cat	cat_latn_broad.tsv	taca	['t', 'a', 'k', 'a']	taka	stain	mancha
692	cat	cat_latn_broad.tsv	tacar	['t', 'a', 'k', 'a', 'ɾ']	takar	to stain	manchar
693	cat	cat_latn_broad.tsv	taco	['t', 'a', 'k', 'u']	taku	taco	taco
694	cat	cat_latn_broad.tsv	tacà	['t', 'a', 'k', 'a']	taka	stain	manchado
695	cat	cat_latn_broad.tsv	tal	['t', 'a', 'l']	tal	such	tal
696	cat	cat_latn_broad.tsv	tala	['t', 'a', 'l', 'a']	tala	cut down	tala
697	cat	cat_latn_broad.tsv	talaia	['t', 'a', 'l', 'a', 'j', 'a']	talaya	Watchtower	atalaya
698	cat	cat_latn_broad.tsv	talar	['t', 'a', 'l', 'a', 'ɾ']	talar	cut down	talar
699	cat	cat_latn_broad.tsv	tall	['t', 'a', 'ʎ']	tall	cutting	corte
700	cat	cat_latn_broad.tsv	tallar	['t', 'a', 'ʎ', 'a', 'ɾ']	tallar	cut down	cortar
701	cat	cat_latn_broad.tsv	tallarina	['t', 'a', 'ʎ', 'a', 'ɾ', 'i', 'n', 'a']	tallarina	noodle	tallarina
702	cat	cat_latn_broad.tsv	tan	['t', 'a', 'n']	tan	so	tan
703	cat	cat_latn_broad.tsv	tant	['t', 'a', 'n']	tan	so much	tanto
704	cat	cat_latn_broad.tsv	tany	['t', 'a', 'ɲ']	tañ	tany	tinto
705	cat	cat_latn_broad.tsv	taní	['t', 'a', 'n', 'i']	tani	tannin	tanino
706	cat	cat_latn_broad.tsv	tap	['t', 'a', 'p']	tap	stopper	tapón
707	cat	cat_latn_broad.tsv	tapa	['t', 'a', 'p', 'a']	tapa	lid	tapa
708	cat	cat_latn_broad.tsv	tapar	['t', 'a', 'p', 'a', 'ɾ']	tapar	cover	tapar
709	cat	cat_latn_broad.tsv	tapir	['t', 'a', 'p', 'i', 'ɾ']	tapir	tapir	tapir
710	cat	cat_latn_broad.tsv	tapís	['t', 'a', 'p', 'i', 's']	tapis	tapestry	tapiz
711	cat	cat_latn_broad.tsv	taquilla	['t', 'a', 'k', 'i', 'ʎ', 'a']	takilla	ticket office	taquilla
712	cat	cat_latn_broad.tsv	tara	['t', 'a', 'ɾ', 'a']	tara	tare	tara
713	cat	cat_latn_broad.tsv	tarima	['t', 'a', 'ɾ', 'i', 'm', 'a']	tarima	platform	tarima
714	cat	cat_latn_broad.tsv	tassa	['t', 'a', 's', 'a']	tasa	cup	taza
715	cat	cat_latn_broad.tsv	tau	['t', 'a', 'w']	taw	tau	tabla
716	cat	cat_latn_broad.tsv	tic	['t', 'i', 'k']	tik	i have	tic
717	cat	cat_latn_broad.tsv	tim	['t', 'i', 'm']	tim	tim	tim
718	cat	cat_latn_broad.tsv	tinamú	['t', 'i', 'n', 'a', 'm', 'u']	tinamu	tinamú	tinamu
719	cat	cat_latn_broad.tsv	tinya	['t', 'i', 'ɲ', 'a']	tiña	got it	tiña
720	cat	cat_latn_broad.tsv	tip	['t', 'i', 'p']	tip	type	tip
721	cat	cat_latn_broad.tsv	tipus	['t', 'i', 'p', 'u', 's']	tipus	type	tipos
722	cat	cat_latn_broad.tsv	tira	['t', 'i', 'ɾ', 'a']	tira	pull	tira
723	cat	cat_latn_broad.tsv	tirant	['t', 'i', 'ɾ', 'a', 'n']	tiran	pulling	tirando
724	cat	cat_latn_broad.tsv	tirar	['t', 'i', 'ɾ', 'a']	tira	throw	tirar
725	cat	cat_latn_broad.tsv	tirar	['t', 'i', 'ɾ', 'a', 'ɾ']	tirar	throw	tirar
726	cat	cat_latn_broad.tsv	tiro	['t', 'i', 'ɾ', 'u']	tiru	shoot	echo
727	cat	cat_latn_broad.tsv	tirà	['t', 'i', 'ɾ', 'a']	tira	will pull	tirano
728	cat	cat_latn_broad.tsv	tirànic	['t', 'i', 'ɾ', 'a', 'n', 'i', 'k']	tiranik	tyrannical	tiránico
729	cat	cat_latn_broad.tsv	tita	['t', 'i', 't', 'a']	tita	aunt	tita
730	cat	cat_latn_broad.tsv	titani	['t', 'i', 't', 'a', 'n', 'i']	titani	titanium	titanio
731	cat	cat_latn_broad.tsv	titula	['t', 'i', 't', 'u', 'l', 'a']	titula	title	titula
732	cat	cat_latn_broad.tsv	titular	['t', 'i', 't', 'u', 'l', 'a']	titula	owner	titular
733	cat	cat_latn_broad.tsv	titular	['t', 'i', 't', 'u', 'l', 'a', 'ɾ']	titular	owner	titular
734	cat	cat_latn_broad.tsv	titulo	['t', 'i', 't', 'u', 'l', 'u']	titulu	title	titulo
735	cat	cat_latn_broad.tsv	tità	['t', 'i', 't', 'a']	tita	titan	titán
736	cat	cat_latn_broad.tsv	tití	['t', 'i', 't', 'i']	titi	marmoset	tití
737	cat	cat_latn_broad.tsv	tocar	['t', 'u', 'k', 'a']	tuka	to touch	tocar
738	cat	cat_latn_broad.tsv	tocà	['t', 'u', 'k', 'a']	tuka	touch	tocó
739	cat	cat_latn_broad.tsv	tomàs	['t', 'u', 'm', 'a', 's']	tumas	tomas	tomate
740	cat	cat_latn_broad.tsv	topall	['t', 'u', 'p', 'a', 'ʎ']	tupall	butt	tope
741	cat	cat_latn_broad.tsv	topar	['t', 'u', 'p', 'a']	tupa	run into	chocar
742	cat	cat_latn_broad.tsv	topí	['t', 'u', 'p', 'i']	tupi	topi	topino
743	cat	cat_latn_broad.tsv	torà	['t', 'u', 'ɾ', 'a']	tura	torah	torá
744	cat	cat_latn_broad.tsv	toràcic	['t', 'u', 'ɾ', 'a', 's', 'i', 'k']	turasik	thoracic	torácico
745	cat	cat_latn_broad.tsv	torí	['t', 'u', 'ɾ', 'i']	turi	tori	torí
746	cat	cat_latn_broad.tsv	tossal	['t', 'u', 's', 'a', 'l']	tusal	cough	colina
747	cat	cat_latn_broad.tsv	tossir	['t', 'u', 's', 'i']	tusi	to cough	toser
748	cat	cat_latn_broad.tsv	total	['t', 'u', 't', 'a', 'l']	tutal	total	total
749	cat	cat_latn_broad.tsv	tu	['t', 'u']	tu	you	tú
750	cat	cat_latn_broad.tsv	tub	['t', 'u', 'p']	tup	tube	tubo
751	cat	cat_latn_broad.tsv	tucà	['t', 'u', 'k', 'a']	tuka	toucan	tucán
752	cat	cat_latn_broad.tsv	tuli	['t', 'u', 'l', 'i']	tuli	tuli	tulio
753	cat	cat_latn_broad.tsv	tupar	['t', 'u', 'p', 'a']	tupa	cover up	tupar
754	cat	cat_latn_broad.tsv	tupar	['t', 'u', 'p', 'a', 'ɾ']	tupar	cover up	tupar
755	cat	cat_latn_broad.tsv	tupí	['t', 'u', 'p', 'i']	tupi	stupid	tupí
756	cat	cat_latn_broad.tsv	tuta	['t', 'u', 't', 'a']	tuta	whole	tuta
757	cat	cat_latn_broad.tsv	tutú	['t', 'u', 't', 'u']	tutu	tutu	tutú
758	cat	cat_latn_broad.tsv	tàcita	['t', 'a', 's', 'i', 't', 'a']	tasita	unspoken	tácita
759	cat	cat_latn_broad.tsv	típic	['t', 'i', 'p', 'i', 'k']	tipik	typical	típico
760	cat	cat_latn_broad.tsv	típica	['t', 'i', 'p', 'i', 'k', 'a']	tipika	typical	típica
761	cat	cat_latn_broad.tsv	títol	['t', 'i', 't', 'u', 'l']	titul	title	título
762	cat	cat_latn_broad.tsv	túmul	['t', 'u', 'm', 'u', 'l']	tumul	mound	túmulo
763	cat	cat_latn_broad.tsv	túnica	['t', 'u', 'n', 'i', 'k', 'a']	tunika	robe	túnica
764	cat	cat_latn_broad.tsv	uci	['u', 's', 'i']	usi	use	uci
765	cat	cat_latn_broad.tsv	ucàs	['u', 'k', 'a', 's']	ukas	ucas	ucaso
766	cat	cat_latn_broad.tsv	ull	['u', 'ʎ']	ull	eye	ojo
767	cat	cat_latn_broad.tsv	ullal	['u', 'ʎ', 'a', 'l']	ullal	tusk	colmillo
768	cat	cat_latn_broad.tsv	un	['u', 'n']	un	one	uno
769	cat	cat_latn_broad.tsv	una	['u', 'n', 'a']	una	one	una
770	cat	cat_latn_broad.tsv	unir	['u', 'n', 'i']	uni	unite	unir
771	cat	cat_latn_broad.tsv	unir	['u', 'n', 'i', 'ɾ']	unir	unite	unir
772	cat	cat_latn_broad.tsv	unitari	['u', 'n', 'i', 't', 'a', 'ɾ', 'i']	unitari	unitary	unitario
773	cat	cat_latn_broad.tsv	uniu	['u', 'n', 'i', 'w']	uniw	unite	univo
774	cat	cat_latn_broad.tsv	uní	['u', 'n', 'i']	uni	united	unino
775	cat	cat_latn_broad.tsv	urani	['u', 'ɾ', 'a', 'n', 'i']	urani	uranium	uranio
776	cat	cat_latn_broad.tsv	urà	['u', 'ɾ', 'a']	ura	uranium	Urano
777	cat	cat_latn_broad.tsv	us	['u', 's']	us	us	os
778	cat	cat_latn_broad.tsv	xa	['ʃ', 'a']	sha	already	xa
779	cat	cat_latn_broad.tsv	xai	['ʃ', 'a', 'j']	shay	lamb	cordero
780	cat	cat_latn_broad.tsv	xal	['ʃ', 'a', 'l']	shal	shawl	chal
781	cat	cat_latn_broad.tsv	xato	['ʃ', 'a', 't', 'u']	shatu	cat	chat
782	cat	cat_latn_broad.tsv	xic	['ʃ', 'i', 'k']	shik	kid	chico
783	cat	cat_latn_broad.tsv	xip	['ʃ', 'i', 'p']	ship	chip	chip
784	cat	cat_latn_broad.tsv	xipollar	['ʃ', 'i', 'p', 'u', 'ʎ', 'a']	shipulla	chipper	chapollar
785	cat	cat_latn_broad.tsv	xollar	['ʃ', 'u', 'ʎ', 'a']	shulla	squeal	esquilar
786	cat	cat_latn_broad.tsv	xopar	['ʃ', 'u', 'p', 'a']	shupa	to soak	empapar
787	cat	cat_latn_broad.tsv	xoriço	['ʃ', 'u', 'ɾ', 'i', 's', 'u']	shurisu	chorizo	chorizo
788	cat	cat_latn_broad.tsv	xuixo	['ʃ', 'u', 'ʃ', 'u']	shushu	whisper	chucho
789	cat	cat_latn_broad.tsv	xutar	['ʃ', 'u', 't', 'a']	shuta	to kick	chutar
790	cat	cat_latn_broad.tsv	àkan	['a', 'k', 'a', 'n']	akan	akan	akan
791	cat	cat_latn_broad.tsv	ànim	['a', 'n', 'i', 'm']	anim	encouragement	ánimo
792	cat	cat_latn_broad.tsv	ànima	['a', 'n', 'i', 'm', 'a']	anima	soul	alma
793	cat	cat_latn_broad.tsv	àrab	['a', 'ɾ', 'a', 'p']	arap	Arabic	árabe
794	cat	cat_latn_broad.tsv	àtic	['a', 't', 'i', 'k']	atik	attic	ático
795	cat	cat_latn_broad.tsv	àtica	['a', 't', 'i', 'k', 'a']	atika	attic	ática
796	cat	cat_latn_broad.tsv	àtom	['a', 't', 'u', 'm']	atum	atom	átomo
797	cat	cat_latn_broad.tsv	àton	['a', 't', 'u', 'n']	atun	atonic	átono
798	cat	cat_latn_broad.tsv	ça	['s', 'a']	sa	that	ça
799	cat	cat_latn_broad.tsv	únic	['u', 'n', 'i', 'k']	unik	unique	único
800	cat	cat_latn_broad.tsv	ús	['u', 's']	us	use	uso
1	cbn	cbn_thai_broad.tsv	คะมุม	['kʰ', 'a', 'm', 'u', 'm']	khamum		
2	cbn	cbn_thai_broad.tsv	ปัน	['p', 'a', 'n']	pan		
3	cbn	cbn_thai_broad.tsv	แญ็น	['ɲ', 'æ', 'n']	ñan		
4	cbn	cbn_thai_broad.tsv	แป็ย	['p', 'æ', 'j']	pay		
1	ceb	ceb_latn_broad.tsv	anak	['a', 'n', 'a', 'k']	anak		
2	ceb	ceb_latn_broad.tsv	atop	['a', 't', 'ʊ', 'p']	atup		
3	ceb	ceb_latn_broad.tsv	harina	['h', 'a', 'ɾ', 'i', 'n', 'a']	harina		
4	ceb	ceb_latn_broad.tsv	inunom	['i', 'n', 'u', 'n', 'ʊ', 'm']	inunum		
5	ceb	ceb_latn_broad.tsv	kutis	['k', 'u', 't', 'i', 's']	kutis		
6	ceb	ceb_latn_broad.tsv	lala	['j', 'a', 'j', 'a']	yaya		
7	ceb	ceb_latn_broad.tsv	lawas	['l', 'a', 'w', 'a', 's']	lawas		
8	ceb	ceb_latn_broad.tsv	lawin	['l', 'a', 'w', 'i', 'n']	lawin		
9	ceb	ceb_latn_broad.tsv	layas	['l', 'a', 'j', 'a', 's']	layas		
10	ceb	ceb_latn_broad.tsv	lusay	['l', 'u', 's', 'a', 'j']	lusay		
11	ceb	ceb_latn_broad.tsv	mahilom	['m', 'a', 'h', 'i', 'l', 'u', 'm']	mahilum		
12	ceb	ceb_latn_broad.tsv	maluya	['m', 'a', 'l', 'u', 'j', 'a']	maluya		
13	ceb	ceb_latn_broad.tsv	maxilom	['m', 'a', 'h', 'i', 'l', 'u', 'm']	mahilum		
14	ceb	ceb_latn_broad.tsv	maya	['m', 'a', 'j', 'a']	maya		
15	ceb	ceb_latn_broad.tsv	niya	['n', 'i', 'j', 'a']	niya		
16	ceb	ceb_latn_broad.tsv	pinito	['p', 'i', 'n', 'ɪ', 't', 'ʊ']	pinitu		
17	ceb	ceb_latn_broad.tsv	siya	['s', 'i', 'j', 'a']	siya		
18	ceb	ceb_latn_broad.tsv	siya	['s', 'ɪ', 'j', 'a']	siya		
19	ceb	ceb_latn_broad.tsv	una	['u', 'n', 'a']	una		
20	ceb	ceb_latn_broad.tsv	utok	['u', 't', 'u', 'k']	utuk		
21	ceb	ceb_latn_broad.tsv	winalo	['w', 'i', 'n', 'a', 'l', 'ʊ']	winalu		
1	ces	ces_latn_broad.tsv	aji	['a', 'j', 'ɪ']	ayi	yes	Sí
2	ces	ces_latn_broad.tsv	ananym	['a', 'n', 'a', 'n', 'ɪ', 'm']	ananim	anonymous	anónimo
3	ces	ces_latn_broad.tsv	ani	['a', 'ɲ', 'ɪ']	añi	neither	ni
4	ces	ces_latn_broad.tsv	asi	['a', 's', 'ɪ']	asi	about	acerca de
5	ces	ces_latn_broad.tsv	až	['a', 'ʃ']	ash	until	hasta
6	ces	ces_latn_broad.tsv	jak	['j', 'a', 'k']	yak	how	cómo
7	ces	ces_latn_broad.tsv	jas	['j', 'a', 's']	yas	brightness	brillo
8	ces	ces_latn_broad.tsv	jih	['j', 'ɪ', 'x']	yik	south	sur
9	ces	ces_latn_broad.tsv	jinam	['j', 'ɪ', 'n', 'a', 'm']	yinam	elsewhere	en otra parte
10	ces	ces_latn_broad.tsv	jsu	['s', 'u']	su	i am	soy
11	ces	ces_latn_broad.tsv	kajuta	['k', 'a', 'j', 'u', 't', 'a']	kayuta	cabin	cabina
12	ces	ces_latn_broad.tsv	kam	['k', 'a', 'm']	kam	where	dónde
13	ces	ces_latn_broad.tsv	kas	['k', 'a', 's']	kas	cash register	caja registradora
14	ces	ces_latn_broad.tsv	kaz	['k', 'a', 's']	kas	decay	decadencia
15	ces	ces_latn_broad.tsv	laň	['l', 'a', 'ɲ']	lañ	hind	posterior
16	ces	ces_latn_broad.tsv	lupy	['l', 'ʊ', 'p', 'ɪ']	lupi	dandruff	caspa
17	ces	ces_latn_broad.tsv	mapa	['m', 'a', 'p', 'a']	mapa	map	mapa
18	ces	ces_latn_broad.tsv	mašina	['m', 'a', 'ʃ', 'ɪ', 'n', 'a']	mashina	machine	máquina
19	ces	ces_latn_broad.tsv	much	['m', 'u', 'x']	muk	flies	moscas
20	ces	ces_latn_broad.tsv	my	['m', 'ɪ']	mi	we	nosotros
21	ces	ces_latn_broad.tsv	na	['n', 'a']	na	on	en
22	ces	ces_latn_broad.tsv	nika	['n', 'ɪ', 'k', 'a']	nika	niche	nicho
23	ces	ces_latn_broad.tsv	nikam	['ɲ', 'ɪ', 'k', 'a', 'm']	ñikam	nowhere	en ningún lugar
24	ces	ces_latn_broad.tsv	pas	['p', 'a', 's']	pas	passport	pasaporte
25	ces	ces_latn_broad.tsv	pata	['p', 'a', 't', 'a']	pata	heel	tacón
26	ces	ces_latn_broad.tsv	pili	['p', 'ɪ', 'l', 'ɪ']	pili	they drank	ellos tomaron
27	ces	ces_latn_broad.tsv	si	['s', 'ɪ']	si	you are	eres
28	ces	ces_latn_broad.tsv	sis	['s', 'ɪ', 's']	sis	sis	hermana
29	ces	ces_latn_broad.tsv	su	['s', 'u']	su	are	son
30	ces	ces_latn_broad.tsv	suši	['s', 'ʊ', 'ʃ', 'i']	sushi	sushi	Sushi
31	ces	ces_latn_broad.tsv	ta	['t', 'a']	ta	the	el
32	ces	ces_latn_broad.tsv	taj	['t', 'a', 'j']	tay	secret	secreto
33	ces	ces_latn_broad.tsv	tak	['t', 'a', 'k']	tak	so	entonces
34	ces	ces_latn_broad.tsv	tam	['t', 'a', 'm']	tam	PUSH	EMPUJAR
35	ces	ces_latn_broad.tsv	tu	['t', 'u']	tu	here	aquí
